"","enddate","JCP.Close","lag","log.return","observation"
"57","2016-03-10",11.55,11.51,0.00346921423401136,57
"58","2016-03-11",11.22,11.55,-0.0289875368732524,58
"59","2016-03-14",11.48,11.22,0.02290849079687,59
"60","2016-03-15",11.19,11.48,-0.0255858685675867,60
"61","2016-03-16",11.23,11.19,0.00356824642651832,61
"62","2016-03-17",11.52,11.23,0.0254958865173931,62
"63","2016-03-18",11.57,11.52,0.00433088593783992,63
"64","2016-03-21",11.53,11.57,-0.00346320692461743,64
"65","2016-03-22",11.26,11.53,-0.0236957115694234,65
"66","2016-03-23",10.96,11.26,-0.0270043411916747,66
"67","2016-03-24",10.91,10.96,-0.00457248167489022,67
"68","2016-03-28",11.22,10.91,0.0280181002495712,68
"69","2016-03-29",11.43,11.22,0.018543577712169,69
"70","2016-03-30",11.22,11.43,-0.018543577712169,70
"71","2016-03-31",11.06,11.22,-0.0143629040003614,71
"72","2016-04-01",10.63,11.06,-0.0396548037403321,72
"73","2016-04-04",10.54,10.63,-0.00850264924064081,73
"74","2016-04-05",10.43,10.54,-0.0104912741005352,74
"75","2016-04-06",10.58,10.43,0.0142791574174725,75
"76","2016-04-07",10.16,10.58,-0.0405069842798174,76
"77","2016-04-08",10.02,10.16,-0.0138753464936174,77
"78","2016-04-11",9.79,10.02,-0.0232216391142996,78
"79","2016-04-12",9.75,9.79,-0.004094171532663,79
"80","2016-04-13",10.06,9.75,0.0312998796618373,80
"81","2016-04-14",9.66,10.06,-0.0405735164471666,81
"82","2016-04-15",9.85,9.66,0.0194778069595709,82
"83","2016-04-18",9.9,9.85,0.0050633019565467,83
"84","2016-04-19",9.74,9.9,-0.0162936394861006,84
"85","2016-04-20",9.81,9.74,0.00716115592282796,85
"86","2016-04-21",9.55,9.81,-0.0268611190846326,86
"87","2016-04-22",9.53,9.55,-0.00209643682652816,87
"88","2016-04-25",9.47,9.53,-0.00631581046812402,88
"89","2016-04-26",9.49,9.47,0.00210970542384947,89
"90","2016-04-27",9.63,9.49,0.0146446131881981,90
"91","2016-04-28",9.66,9.63,0.0031104224143923,91
"92","2016-04-29",9.28,9.66,-0.0401321014263174,92
"93","2016-05-02",9.62,9.28,0.0359827178795058,93
"94","2016-05-03",9.32,9.62,-0.0316816359801151,94
"95","2016-05-04",9.03,9.32,-0.031610261268606,95
"96","2016-05-05",8.93,9.03,-0.0111359725404863,96
"97","2016-05-06",8.26,8.93,-0.077991807355521,97
"98","2016-05-09",8.43,8.26,0.0203721844808773,98
"99","2016-05-10",8.09,8.43,-0.0411680409433637,99
"100","2016-05-11",7.89,8.09,-0.0250325962126174,100
"101","2016-05-12",7.8,7.89,-0.0114724011622367,101
"102","2016-05-13",7.58,7.8,-0.0286105340412659,102
"103","2016-05-16",7.39,7.58,-0.0253854646941698,103
"104","2016-05-17",7.26,7.39,-0.0177479061234058,104
"105","2016-05-18",7.3,7.26,0.00549451931764078,105
"106","2016-05-19",7.6,7.3,0.0402738991379397,106
"107","2016-05-20",7.74,7.6,0.0182534403093508,107
"108","2016-05-23",7.68,7.74,-0.00778214044205505,108
"109","2016-05-24",7.83,7.68,0.019342962843131,109
"110","2016-05-25",7.91,7.83,0.0101652717768506,110
"111","2016-05-26",7.66,7.91,-0.0321157980270623,111
"112","2016-05-27",7.86,7.66,0.0257746226886151,112
"113","2016-05-31",7.79,7.86,-0.00894574655845837,113
"114","2016-06-01",7.78,7.79,-0.00128452169235649,114
"115","2016-06-02",8.36,7.78,0.07190208890631,115
"116","2016-06-03",8.45,8.36,0.0107080142724718,116
"117","2016-06-06",8.46,8.45,0.00118273224904986,117
"118","2016-06-07",8.64,8.46,0.0210534091978323,118
"119","2016-06-08",8.58,8.64,-0.0069686693160933,119
"120","2016-06-09",8.42,8.58,-0.0188240852456358,120
"121","2016-06-10",8.2,8.42,-0.0264756739840277,121
"122","2016-06-13",8.08,8.2,-0.0147422817372034,122
"123","2016-06-14",8.02,8.08,-0.00745345065458114,123
"124","2016-06-15",8.35,8.02,0.0403231169843412,124
"125","2016-06-16",8.26,8.35,-0.0108369513298774,125
"126","2016-06-17",8.48,8.26,0.026285862270925,126
"127","2016-06-20",8.46,8.48,-0.00236127618567972,127
"128","2016-06-21",8.58,8.46,0.014084739881739,128
"129","2016-06-22",8.42,8.58,-0.0188240852456358,129
