Date,Open,High,Low,Close,Volume
2-Dec-16,9.93,10.09,9.75,9.81,20255533
1-Dec-16,9.47,9.84,9.42,9.53,14929087
30-Nov-16,9.48,9.69,9.30,9.47,16218965
29-Nov-16,9.25,9.69,9.15,9.54,25062552
28-Nov-16,9.69,9.70,9.15,9.20,17905242
25-Nov-16,9.97,9.98,9.63,9.68,8385281
23-Nov-16,9.70,9.90,9.58,9.82,10476785
22-Nov-16,9.42,9.80,9.42,9.72,14280313
21-Nov-16,9.52,9.55,9.23,9.36,11235850
18-Nov-16,9.39,9.50,9.16,9.47,13367580
17-Nov-16,9.20,9.45,9.09,9.43,12755697
16-Nov-16,9.12,9.34,9.06,9.18,12804414
15-Nov-16,9.41,9.50,9.02,9.12,20686456
14-Nov-16,9.11,9.97,9.08,9.52,40962785
11-Nov-16,8.33,9.29,8.30,9.16,61859719
10-Nov-16,8.73,9.15,8.67,8.81,35945364
9-Nov-16,7.97,8.42,7.92,8.36,13359510
8-Nov-16,8.28,8.31,7.97,8.11,18418597
7-Nov-16,8.32,8.54,8.25,8.30,14124538
4-Nov-16,8.22,8.36,8.07,8.20,12098236
3-Nov-16,8.41,8.48,8.22,8.24,11889412
2-Nov-16,8.40,8.48,8.33,8.41,11420932
1-Nov-16,8.57,8.62,8.37,8.48,8663696
31-Oct-16,8.50,8.71,8.49,8.59,11181163
28-Oct-16,8.30,8.57,8.30,8.48,11742805
27-Oct-16,8.43,8.46,8.25,8.31,12364584
26-Oct-16,8.37,8.66,8.29,8.41,15601965
25-Oct-16,8.50,8.51,8.26,8.37,16177015
24-Oct-16,8.84,8.97,8.55,8.56,12343025
21-Oct-16,8.60,8.90,8.60,8.84,15867065
20-Oct-16,8.88,8.89,8.64,8.66,14722347
19-Oct-16,8.48,8.87,8.46,8.85,14386906
18-Oct-16,8.62,8.63,8.39,8.48,11185732
17-Oct-16,8.65,8.77,8.50,8.52,11349094
14-Oct-16,8.60,8.77,8.60,8.67,10757710
13-Oct-16,8.90,8.91,8.63,8.73,14884455
12-Oct-16,9.02,9.04,8.87,8.93,10474926
11-Oct-16,9.10,9.15,8.94,9.01,11026004
10-Oct-16,9.47,9.54,9.04,9.06,13519245
7-Oct-16,9.40,9.69,9.26,9.44,15754622
6-Oct-16,9.01,9.40,8.90,9.37,15108808
5-Oct-16,9.04,9.12,8.94,9.01,10046411
4-Oct-16,9.00,9.08,8.86,8.99,11596295
3-Oct-16,9.20,9.21,8.87,9.01,17616870
30-Sep-16,9.29,9.39,9.08,9.22,13979260
29-Sep-16,9.54,9.62,9.24,9.25,16450944
28-Sep-16,9.52,9.67,9.34,9.55,12113803
27-Sep-16,9.60,9.76,9.49,9.55,11456194
26-Sep-16,9.70,9.80,9.57,9.57,8404586
23-Sep-16,9.76,10.08,9.71,9.78,7767422
